percent,ankle,knee,hip
0,11.346,16.651,14.653
2,11.216,15.598,13.248
4,12.613,15.321,12.917
6,12.383,13.129,12.179
8,13.348,11.394,11.626
10,11.836,10.210,8.954
12,13.108,9.426,8.960
14,12.364,6.796,7.012
16,11.798,4.153,5.518
18,10.700,2.830,3.551
20,9.426,0.117,3.059
22,8.102,-1.191,0.921
24,8.897,-3.645,-0.932
26,6.174,-5.583,-2.662
28,5.743,-7.076,-3.605
30,3.563,-9.191,-6.224
32,3.670,-10.251,-8.013
34,1.115,-12.279,-7.460
36,0.514,-14.134,-8.677
38,-1.978,-15.069,-10.394
40,-3.587,-15.230,-11.353
42,-4.708,-16.072,-11.175
44,-5.441,-16.180,-12.194
46,-5.906,-14.790,-11.689
48,-8.144,-14.476,-12.487
50,-9.079,-14.479,-11.474
52,-9.723,-13.623,-11.629
54,-9.702,-13.469,-10.140
56,-10.479,-10.587,-10.345
58,-10.679,-9.976,-8.037
60,-10.242,-9.010,-7.995
62,-9.768,-7.017,-5.599
64,-9.192,-5.334,-4.376
66,-9.413,-2.366,-3.181
68,-8.705,-1.234,-0.721
70,-7.956,1.663,0.189
72,-7.025,3.273,1.606
74,-5.833,5.293,4.097
76,-4.425,6.984,3.897
78,-3.417,8.713,6.905
80,-1.282,11.431,8.018
82,-0.454,12.241,9.894
84,1.360,13.656,10.821
86,1.121,14.281,11.532
88,3.348,16.694,11.892
90,3.874,16.201,12.992
92,6.397,18.068,12.925
94,6.917,18.445,14.736
96,7.691,18.134,13.869
98,9.909,16.136,14.907
100,9.908,15.602,14.484
