percent,ankle,knee,hip
0,24.135,6.689,26.616
2,21.697,8.985,26.271
4,21.431,8.936,27.664
6,18.721,9.788,27.883
8,15.644,10.550,26.909
10,14.867,9.960,27.001
12,10.955,11.260,26.292
14,7.504,11.944,24.259
16,4.574,11.780,22.831
18,3.153,11.252,20.457
20,-0.972,9.946,18.056
22,-3.035,10.635,14.487
24,-6.471,9.029,11.687
26,-9.354,8.194,10.117
28,-11.947,8.564,5.248
30,-14.687,6.867,2.763
32,-15.952,6.395,-0.637
34,-18.355,4.647,-3.232
36,-21.353,2.162,-7.375
38,-22.356,0.843,-10.830
40,-22.798,0.278,-12.539
42,-23.845,-1.336,-17.271
44,-23.953,-1.711,-19.400
46,-22.203,-3.490,-21.697
48,-22.463,-5.075,-21.936
50,-21.497,-4.559,-23.963
52,-20.340,-6.184,-25.426
54,-18.741,-7.002,-25.626
56,-16.062,-7.236,-26.365
58,-14.799,-9.467,-25.087
60,-11.825,-8.435,-25.019
62,-9.827,-9.429,-23.803
64,-6.172,-9.049,-22.315
66,-4.149,-8.824,-21.078
68,-0.278,-8.711,-19.158
70,2.128,-9.044,-16.664
72,5.682,-8.245,-13.427
74,9.171,-7.930,-10.620
76,10.841,-6.854,-7.860
78,14.302,-4.936,-3.532
80,15.675,-5.565,-1.222
82,18.222,-3.358,2.992
84,21.495,-2.467,5.403
86,21.689,-0.772,8.775
88,23.192,-0.040,12.663
90,24.145,2.445,14.913
92,24.342,2.138,18.850
94,25.769,4.567,20.834
96,25.330,5.031,22.896
98,25.405,6.200,23.861
100,23.869,7.715,26.881
