percent,ankle,knee,hip
0,2.024,14.045,19.514
2,2.907,13.144,18.941
4,4.446,11.233,17.324
6,7.403,9.849,16.973
8,8.183,10.156,16.332
10,10.531,7.903,13.750
12,12.296,6.530,12.470
14,13.742,4.654,10.277
16,13.956,2.425,8.161
18,15.084,0.464,7.634
20,15.500,-2.145,3.991
22,16.317,-3.061,2.356
24,17.446,-4.877,0.551
26,16.360,-6.365,-2.486
28,17.474,-8.352,-3.932
30,16.920,-10.808,-6.937
32,15.110,-11.460,-7.769
34,13.811,-13.171,-10.822
36,14.064,-13.661,-11.890
38,12.312,-12.853,-14.253
40,11.314,-14.724,-14.569
42,9.348,-14.931,-15.334
44,7.059,-13.417,-16.432
46,5.535,-14.387,-16.407
48,2.858,-14.136,-17.737
50,1.774,-12.914,-16.271
52,-0.983,-11.228,-17.178
54,-3.031,-10.861,-15.275
56,-5.002,-8.007,-14.063
58,-7.184,-7.118,-13.583
60,-7.952,-4.667,-11.900
62,-10.702,-4.773,-11.471
64,-12.009,-2.963,-9.773
66,-12.932,0.192,-7.675
68,-13.257,1.081,-4.438
70,-14.184,4.574,-1.756
72,-14.228,5.080,0.523
74,-14.590,8.130,1.090
76,-14.243,9.373,3.884
78,-15.692,9.815,5.729
80,-14.545,11.768,8.647
82,-12.668,13.092,9.575
84,-11.598,15.108,13.100
86,-11.149,15.394,13.612
88,-10.862,16.488,14.813
90,-8.639,16.414,16.244
92,-7.027,16.597,17.386
94,-4.291,16.083,18.940
96,-2.028,15.299,17.723
98,-1.643,15.485,18.245
100,0.278,13.427,17.987
