percent,ankle,knee,hip
0,21.777,22.964,9.840
2,18.793,23.812,10.952
4,15.918,25.134,13.927
6,13.266,24.284,14.522
8,10.835,25.510,15.331
10,7.272,24.935,17.203
12,3.157,24.181,18.000
14,-0.180,24.027,17.866
16,-3.963,23.320,18.029
18,-6.453,21.994,18.074
20,-10.412,18.143,17.878
22,-13.704,17.101,16.913
24,-17.066,13.850,15.736
26,-19.165,11.015,15.416
28,-21.201,9.762,12.706
30,-22.849,5.421,12.704
32,-24.558,3.187,9.511
34,-25.306,-0.726,7.529
36,-27.486,-2.182,5.568
38,-28.102,-6.780,3.519
40,-26.759,-8.721,1.417
42,-25.788,-11.680,0.956
44,-25.982,-14.516,-0.955
46,-23.515,-16.440,-4.280
48,-23.121,-18.322,-5.969
50,-21.054,-19.940,-6.860
52,-17.239,-21.797,-9.602
54,-14.706,-21.640,-10.029
56,-12.110,-22.494,-12.927
58,-8.438,-23.289,-12.596
60,-5.020,-22.952,-14.998
62,-2.413,-23.077,-15.251
64,2.309,-22.816,-14.791
66,4.695,-21.360,-14.945
68,9.233,-19.708,-16.248
70,12.392,-16.171,-16.119
72,16.309,-14.441,-13.920
74,17.881,-12.498,-13.113
76,22.071,-10.469,-11.852
78,23.162,-6.453,-11.265
80,25.979,-4.295,-10.310
82,27.660,-1.049,-8.938
84,28.802,2.939,-5.902
86,29.233,5.098,-4.351
88,28.330,8.917,-3.421
90,28.490,11.127,-1.005
92,28.754,13.192,2.677
94,28.150,15.607,4.355
96,26.067,17.864,6.262
98,24.736,21.473,7.854
100,22.570,22.345,8.886
